DATE,STATION,TEMP
2010-11-13,1086099999,29.2
2010-11-14,1086099999,29.8
2010-11-15,1086099999,23.5
2010-11-16,1086099999,23.0
2010-11-17,1086099999,31.0
2010-11-18,1086099999,33.4
2010-11-19,1086099999,22.6
2010-11-20,1086099999,14.3
2010-11-21,1086099999,27.5
2010-11-22,1086099999,23.6
2010-11-23,1086099999,18.5
2010-11-24,1086099999,13.3
2010-11-25,1086099999,11.6
2010-11-26,1086099999,18.8
2010-11-27,1086099999,22.6
2010-11-28,1086099999,22.4
2010-11-29,1086099999,25.0
2010-11-30,1086099999,27.9
